algorithm n comparisons runtime
Bubblesort         10000     99240075 0.530776881
Insertionsort      10000     25099265 0.149348331
StdSorter          10000       128624 0.000763232
Bubblesort         10000     98490150 0.526549565
Insertionsort      10000     25218632 0.149975125
StdSorter          10000       128173 0.000734283
Bubblesort         10000     99150084 0.529913843
Insertionsort      10000     25018921 0.148918349
StdSorter          10000       128689 0.000733782
Bubblesort         10000     98540145 0.526671141
Insertionsort      10000     24829358 0.147607857
StdSorter          10000       128180 0.000734813
Bubblesort         10000     96760323 0.518352735
Insertionsort      10000     24848356 0.147794655
StdSorter          10000       128204 0.000732202
Bubblesort         10000     98680131 0.527330316
Insertionsort      10000     24817752 0.14764073
StdSorter          10000       128389 0.000732902
Bubblesort         10000     97310268 0.520852267
Insertionsort      10000     24910645 0.148372567
StdSorter          10000       128282 0.000735642
Bubblesort         10000     99100089 0.530078692
Insertionsort      10000     24861793 0.147934991
StdSorter          10000       127809 0.000733193
Bubblesort         10000     98300169 0.525505221
Insertionsort      10000     24813464 0.147586058
StdSorter          10000       128388 0.000733023
Bubblesort         10000     99130086 0.530526546
Insertionsort      10000     25022118 0.148962977
